arise,arose,arisen
awake,awoke,awoken
babysit,babysat,babysat
bear,bore,born
bear,bore,borne
beat,beat,beat
beat,beat,beaten
become,became,become
bedo,bedid,bedone
bedraw,bedrew,bedrawn
bedrive,bedrove,bedriven
befall,befell,befallen
befight,befought,befought
begin,began,begun
behear,beheard,beheard
behold,beheld,beheld
belay,belaid,belaid
bend,bent,bent
beseek,besought,besought
beset,beset,beset
bespeak,bespoke,bespoken
bestride,bestrode,bestridden
betake,betook,betaken
bind,bound,bound
bite,bit,bitten
bleed,bled,bled
blow,blew,blown
break,broke,broken
breastfeed,breastfed,breastfed
breed,bred,bred
bring,brought,brought
broadcast,broadcast,broadcast
build,built,built
burn,burnt,burnt
burst,burst,burst
buy,bought,bought
cast,cast,cast
catch,caught,caught
choose,chose,chosen
clad,clad,clad
clearcut,clearcut,clearcut
cling,clung,clung
come,came,come
cowrite,cowrote,cowritten
create,created,created
creep,crept,crept
crosscut,crosscut,crosscut
cut,cut,cut
deal,dealt,dealt
dig,dug,dug
do,did,done
downcast,downcast,downcast
downdraw,downdrew,downdrawn
draw,drew,drawn
dream,dreamt,dreamt
drink,drank,drunk
drive,drove,driven
dwell,dwelt,dwelt
eat,ate,eaten
fall,fell,fallen
feed,fed,fed
feel,felt,felt
fight,fought,fought
find,found,found
fit,fit,fit
fit,fitted,fitted
flee,fled,fled
fling,flung,flung
fly,flew,flown
forbid,forbade,forbidden
forbid,forbid,forbidden
forecast,forecast,forecast
forefeel,forefelt,forefelt
forego,forewent,foregone
forehear,foreheard,foreheard
foresee,foresaw,foreseen
forespeak,forespoke,forespoken
foretell,foretold,foretold
forget,forgot,forgotten
forgive,forgave,forgiven
forgo,forwent,forgone
forsake,forsook,forsaken
forspeak,forspoke,forspoken
forstand,forstood,forstood
forswear,forswore,forsworn
forthcome,forthcame,forthcome
forthtell,forthtold,forthtold
freeze,froze,frozen
ghostwrite,ghostwrote,ghostwritten
gild,gilt,gilt
give,gave,given
go,went,gone
grind,ground,ground
grow,grew,grown
handwrite,handwrote,handwritten
hear,heard,heard
hew,hewed,hewn
hide,hid,hidden
hit,hit,hit
hoist,hoist,hoist
hold,held,held
housesit,housesat,housesat
hurt,hurt,hurt
inbreed,inbred,inbred
inlay,inlaid,inlaid
input,input,input
interbreed,interbred,interbred
intercut,intercut,intercut
interweave,interwove,interwoven
keep,kept,kept
kneel,knelt,knelt
knit,knit,knit
knit,knitted,knitted
know,knew,known
lay,laid,laid
lead,led,led
lean,leant,leant
leap,leapt,leapt
learn,learnt,learnt
leave,left,left
lend,lent,lent
let,let,let
lie,lay,lain
light,lit,lit
lipread,lipread,lipread
lose,lost,lost
make,made,made
mean,meant,meant
meet,met,met
misbecome,misbecame,misbecome
miscast,miscast,miscast
mischoose,mischose,mischosen
misdeal,misdealt,misdealt
misdo,misdid,misdone
misfeed,misfed,misfed
misgive,misgave,misgiven
mishear,misheard,misheard
mishit,mishit,mishit
miskeep,miskept,miskept
mislay,mislaid,mislaid
mislead,misled,misled
misread,misread,misread
missay,missaid,missaid
missee,missaw,misseen
missend,missent,missent
misshoot,misshot,misshot
misspeak,misspoke,misspoken
misspend,misspent,misspent
mistake,mistook,mistaken
mistell,mistold,mistold
misunderstand,misunderstood,misunderstood
miswrite,miswrote,miswritten
mow,mowed,mown
offlead,offled,offled
offset,offset,offset
onlead,onled,onled
outbid,outbid,outbid
outbreak,outbroke,outbroken
outdo,outdid,outdone
outdraw,outdrew,outdrawn
outeat,outate,outeaten
outfight,outfought,outfought
outfly,outflew,outflown
outgrow,outgrew,outgrown
outhear,outheard,outheard
outlead,outled,outled
output,output,output
outride,outrode,outridden
outrun,outran,outrun
outsell,outsold,outsold
outspend,outspent,outspent
outspin,outspun,outspun
outspread,outspread,outspread
outstride,outstrode,outstridden
outstrive,outstrove,outstriven
outswear,outswore,outsworn
outthink,outthought,outthought
outthrow,outthrew,outthrown
outthrust,outthrust,outthrust
overbend,overbent,overbent
overbid,overbid,overbid
overblow,overblew,overblown
overbreed,overbred,overbred
overbuild,overbuilt,overbuilt
overbuy,overbought,overbought
overcast,overcast,overcast
overcome,overcame,overcome
overdo,overdid,overdone
overdraw,overdrew,overdrawn
overdrive,overdrove,overdriven
overeat,overate,overeaten
overfeed,overfed,overfed
overfly,overflew,overflown
overgive,overgave,overgiven
overgrow,overgrew,overgrown
overhang,overhung,overhung
overhear,overheard,overheard
overhit,overhit,overhit
overkeep,overkept,overkept
overlay,overlaid,overlaid
overlead,overled,overled
overlie,overlay,overlain
overpay,overpaid,overpaid
override,overrode,overridden
overrun,overran,overrun
oversee,oversaw,overseen
oversell,oversold,oversold
overshake,overshook,overshaken
overshoot,overshot,overshot
oversleep,overslept,overslept
overspend,overspent,overspent
overspread,overspread,overspread
overstand,overstood,overstood
overstride,overstrode,overstridden
overstrive,overstrove,overstriven
overtake,overtook,overtaken
overthrow,overthrew,overthrown
overwrite,overwrote,overwritten
partake,partook,partaken
pay,paid,paid
plead,pled,pled
podcast,podcast,podcast
precast,precast,precast
prepay,prepaid,prepaid
preset,preset,preset
proofread,proofread,proofread
prove,proved,proven
put,put,put
quit,quit,quit
quit,quitted,quitted
read,read,read
rebid,rebid,rebid
rebreak,rebroke,rebroken
rebuild,rebuilt,rebuilt
recast,recast,recast
recut,recut,recut
redeal,redealt,redealt
redo,redid,redone
redraw,redrew,redrawn
refind,refound,refound
refreeze,refroze,refrozen
regrow,regrew,regrown
rehear,reheard,reheard
remake,remade,remade
rend,rent,rent
repay,repaid,repaid
reread,reread,reread
rerun,reran,rerun
resell,resold,resold
resend,resent,resent
reset,reset,reset
reshoot,reshot,reshot
reshow,reshowed,reshown
reshut,reshut,reshut
resing,resang,resung
resit,resat,resat
retake,retook,retaken
rethink,rethought,rethought
rewind,rewound,rewound
rewrite,rewrote,rewritten
rid,rid,rid
rid,ridded,ridden
ride,rid,ridden
ride,rode,ridden
ring,rang,rung
rise,rose,risen
run,ran,run
saw,sawed,sawn
say,said,said
see,saw,seen
seek,sought,sought
sell,sold,sold
send,sent,sent
set,set,set
sew,sewed,sewn
shake,shook,shaken
shear,shore,shorn
shed,shed,shed
shine,shone,shone
shit,shat,shat
shit,shit,shit
shit,shitted,shitted
shoe,shod,shod
shoot,shot,shot
show,showed,shown
shrink,shrank,shrunk
shrink,shrunk,shrunk
shrive,shrove,shriven
shut,shut,shut
sightsee,sightsaw,sightseen
simulcast,simulcast,simulcast
sing,sang,sung
sink,sank,sunk
sit,sat,sat
slay,slew,slain
sleep,slept,slept
slide,slid,slid
sling,slung,slung
slink,slunk,slunk
slit,slit,slit
smell,smelt,smelt
smite,smote,smitten
soothsay,soothsaid,soothsaid
sow,sowed,sown
speak,spoke,spoken
speed,sped,sped
speedrun,speedran,speedrun
spell,spelt,spelt
spend,spent,spent
spill,spilt,spilt
spin,span,spun
spin,spun,spun
split,split,split
spoil,spoilt,spoilt
spread,spread,spread
spring,sprang,sprung
spring,sprung,sprung
stand,stood,stood
stave,stove,stove
steal,stole,stolen
stick,stuck,stuck
sting,stung,stung
stink,stank,stunk
strew,strewed,strewn
stride,strode,stridden
stride,strode,strode
strike,struck,stricken
strike,struck,struck
string,strung,strung
strip,stripped,stripped
strive,strove,striven
sublet,sublet,sublet
swear,swore,sworn
sweat,sweat,sweat
sweep,swept,swept
swell,swelled,swollen
swim,swam,swum
swing,swang,swung
swing,swung,swung
take,took,taken
teach,taught,taught
teach,taught,taughtd,
tear,tore,torn
telecast,telecast,telecast
tell,told,told
text,text,text
think,thought,thought
thrive,throve,thriven
throw,threw,thrown
thrust,thrust,thrust
tread,trod,trod
tread,trod,trodden
typecast,typecast,typecast
unbend,unbent,unbent
unbind,unbound,unbound
underbid,underbid,underbid
underbuild,underbuilt,underbuilt
underbuy,underbought,underbought
undercast,undercast,undercast
undercut,undercut,undercut
underdig,underdug,underdug
underdo,underdid,underdone
underdraw,underdrew,underdrawn
underdrive,underdrove,underdriven
undereat,underate,undereaten
underfeed,underfed,underfed
undergo,underwent,undergone
underhit,underhit,underhit
underkeep,underkept,underkept
underlead,underled,underled
underlet,underlet,underlet
underlie,underlay,underlain
underpay,underpaid,underpaid
underrun,underran,underrun
undersee,undersaw,underseen
undersell,undersold,undersold
undershoot,undershot,undershot
undersleep,underslept,underslept
underspread,underspread,underspread
understand,understood,understood
undertake,undertook,undertaken
underthrow,underthrew,underthrown
underwrite,underwrote,underwritten
undo,undid,undone
unfreeze,unfroze,unfrozen
unhear,unheard,unheard
unmake,unmade,unmade
unwind,unwound,unwound
upcast,upcast,upcast
updraw,updrew,updrawn
uphold,upheld,upheld
uprise,uprose,uprisen
upsell,upsold,upsold
upset,upset,upset
upstand,upstood,upstood
upsweep,upswept,upswept
uptake,uptook,uptaken
uptear,uptore,uptorn
upthrow,upthrew,upthrown
wake,woke,woken
waylay,waylaid,waylaid
wear,wore,worn
weave,wove,woven
webcast,webcast,webcast
wed,wed,wed
weep,wept,wept
wet,wet,wet
wet,wetted,wetted
win,won,won
withdraw,withdrew,withdrawn
withhold,withheld,withheld
withstand,withstood,withstood
withtake,withtook,withtaken
wring,wrang,wrung
wring,wrung,wrung
write,wrote,written
